"date","hits","keyword","geo","time","gprop","category"
2019-03-31,54,"Netflix","US","today+5-y","web",0
2019-04-07,51,"Netflix","US","today+5-y","web",0
2019-04-14,53,"Netflix","US","today+5-y","web",0
2019-04-21,49,"Netflix","US","today+5-y","web",0
2019-04-28,54,"Netflix","US","today+5-y","web",0
2019-05-05,52,"Netflix","US","today+5-y","web",0
2019-05-12,51,"Netflix","US","today+5-y","web",0
2019-05-19,55,"Netflix","US","today+5-y","web",0
2019-05-26,62,"Netflix","US","today+5-y","web",0
2019-06-02,59,"Netflix","US","today+5-y","web",0
2019-06-09,54,"Netflix","US","today+5-y","web",0
2019-06-16,58,"Netflix","US","today+5-y","web",0
2019-06-23,58,"Netflix","US","today+5-y","web",0
2019-06-30,58,"Netflix","US","today+5-y","web",0
2019-07-07,55,"Netflix","US","today+5-y","web",0
2019-07-14,58,"Netflix","US","today+5-y","web",0
2019-07-21,58,"Netflix","US","today+5-y","web",0
2019-07-28,54,"Netflix","US","today+5-y","web",0
2019-08-04,53,"Netflix","US","today+5-y","web",0
2019-08-11,52,"Netflix","US","today+5-y","web",0
2019-08-18,53,"Netflix","US","today+5-y","web",0
2019-08-25,55,"Netflix","US","today+5-y","web",0
2019-09-01,53,"Netflix","US","today+5-y","web",0
2019-09-08,46,"Netflix","US","today+5-y","web",0
2019-09-15,53,"Netflix","US","today+5-y","web",0
2019-09-22,51,"Netflix","US","today+5-y","web",0
2019-09-29,52,"Netflix","US","today+5-y","web",0
2019-10-06,52,"Netflix","US","today+5-y","web",0
2019-10-13,51,"Netflix","US","today+5-y","web",0
2019-10-20,54,"Netflix","US","today+5-y","web",0
2019-10-27,51,"Netflix","US","today+5-y","web",0
2019-11-03,54,"Netflix","US","today+5-y","web",0
2019-11-10,55,"Netflix","US","today+5-y","web",0
2019-11-17,48,"Netflix","US","today+5-y","web",0
2019-11-24,58,"Netflix","US","today+5-y","web",0
2019-12-01,50,"Netflix","US","today+5-y","web",0
2019-12-08,47,"Netflix","US","today+5-y","web",0
2019-12-15,60,"Netflix","US","today+5-y","web",0
2019-12-22,75,"Netflix","US","today+5-y","web",0
2019-12-29,85,"Netflix","US","today+5-y","web",0
2020-01-05,66,"Netflix","US","today+5-y","web",0
2020-01-12,63,"Netflix","US","today+5-y","web",0
2020-01-19,65,"Netflix","US","today+5-y","web",0
2020-01-26,55,"Netflix","US","today+5-y","web",0
2020-02-02,55,"Netflix","US","today+5-y","web",0
2020-02-09,58,"Netflix","US","today+5-y","web",0
2020-02-16,54,"Netflix","US","today+5-y","web",0
2020-02-23,57,"Netflix","US","today+5-y","web",0
2020-03-01,53,"Netflix","US","today+5-y","web",0
2020-03-08,55,"Netflix","US","today+5-y","web",0
2020-03-15,88,"Netflix","US","today+5-y","web",0
2020-03-22,100,"Netflix","US","today+5-y","web",0
2020-03-29,94,"Netflix","US","today+5-y","web",0
2020-04-05,82,"Netflix","US","today+5-y","web",0
2020-04-12,80,"Netflix","US","today+5-y","web",0
2020-04-19,93,"Netflix","US","today+5-y","web",0
2020-04-26,81,"Netflix","US","today+5-y","web",0
