"x"
"|date       | harvey| irma| maria| jose|"
"|:----------|------:|----:|-----:|----:|"
"|2017-08-20 |      0|    0|     0|    0|"
"|2017-08-21 |      0|    0|     0|    0|"
"|2017-08-22 |      4|    1|     0|    0|"
"|2017-08-23 |      6|    1|     0|    0|"
"|2017-08-24 |    309|    0|     0|    0|"
"|2017-08-25 |   1348|    1|     0|    0|"
"|2017-08-26 |    995|    0|     0|    0|"
"|2017-08-27 |    960|    0|     0|    0|"
"|2017-08-28 |   1956|    1|     0|    0|"
"|2017-08-29 |   2283|    0|     0|    0|"
"|2017-08-30 |   1603|    0|     0|    0|"
"|2017-08-31 |   1503|   61|     0|    0|"
"|2017-09-01 |   1109|   66|     0|    0|"
"|2017-09-02 |    700|   36|     0|    0|"
"|2017-09-03 |    546|   52|     0|    0|"
"|2017-09-04 |    713|  221|     0|    0|"
"|2017-09-05 |   1203|  793|     0|    0|"
"|2017-09-06 |    933| 1668|     0|   31|"
"|2017-09-07 |    744| 1994|     0|   93|"
"|2017-09-08 |    716| 2049|     0|  167|"
"|2017-09-09 |    420| 1595|     0|  195|"
"|2017-09-10 |    278| 2544|     0|   94|"
"|2017-09-11 |    400| 2416|     0|   61|"
"|2017-09-12 |    508| 1388|     0|   42|"
"|2017-09-13 |    465| 1057|     1|   50|"
"|2017-09-14 |    338|  896|     0|    9|"
"|2017-09-15 |    266|  488|     6|   30|"
"|2017-09-16 |     89|  316|     1|   65|"
"|2017-09-17 |    107|  244|    41|   78|"
"|2017-09-18 |    288|  360|   304|   63|"
"|2017-09-19 |    196|  575|   518|   82|"
"|2017-09-20 |    234|  300|   545|   20|"
"|2017-09-21 |    169|  262|   528|    7|"
"|2017-09-22 |    155|  175|   409|    1|"
"|2017-09-23 |     12|    5|     1|    0|"
"|2017-09-24 |      4|    3|     0|    0|"
"|2017-09-25 |      0|    0|     0|    0|"
"|2017-09-26 |      0|    0|     0|    0|"
