"date","hits","keyword","geo","time","gprop","category"
2019-03-31,89,"Android","US","today+5-y","web",0
2019-04-07,87,"Android","US","today+5-y","web",0
2019-04-14,84,"Android","US","today+5-y","web",0
2019-04-21,84,"Android","US","today+5-y","web",0
2019-04-28,80,"Android","US","today+5-y","web",0
2019-05-05,88,"Android","US","today+5-y","web",0
2019-05-12,83,"Android","US","today+5-y","web",0
2019-05-19,85,"Android","US","today+5-y","web",0
2019-05-26,89,"Android","US","today+5-y","web",0
2019-06-02,90,"Android","US","today+5-y","web",0
2019-06-09,87,"Android","US","today+5-y","web",0
2019-06-16,87,"Android","US","today+5-y","web",0
2019-06-23,88,"Android","US","today+5-y","web",0
2019-06-30,86,"Android","US","today+5-y","web",0
2019-07-07,81,"Android","US","today+5-y","web",0
2019-07-14,94,"Android","US","today+5-y","web",0
2019-07-21,90,"Android","US","today+5-y","web",0
2019-07-28,89,"Android","US","today+5-y","web",0
2019-08-04,90,"Android","US","today+5-y","web",0
2019-08-11,84,"Android","US","today+5-y","web",0
2019-08-18,85,"Android","US","today+5-y","web",0
2019-08-25,85,"Android","US","today+5-y","web",0
2019-09-01,94,"Android","US","today+5-y","web",0
2019-09-08,82,"Android","US","today+5-y","web",0
2019-09-15,87,"Android","US","today+5-y","web",0
2019-09-22,87,"Android","US","today+5-y","web",0
2019-09-29,86,"Android","US","today+5-y","web",0
2019-10-06,86,"Android","US","today+5-y","web",0
2019-10-13,82,"Android","US","today+5-y","web",0
2019-10-20,83,"Android","US","today+5-y","web",0
2019-10-27,81,"Android","US","today+5-y","web",0
2019-11-03,86,"Android","US","today+5-y","web",0
2019-11-10,81,"Android","US","today+5-y","web",0
2019-11-17,79,"Android","US","today+5-y","web",0
2019-11-24,91,"Android","US","today+5-y","web",0
2019-12-01,85,"Android","US","today+5-y","web",0
2019-12-08,81,"Android","US","today+5-y","web",0
2019-12-15,85,"Android","US","today+5-y","web",0
2019-12-22,100,"Android","US","today+5-y","web",0
2019-12-29,87,"Android","US","today+5-y","web",0
2020-01-05,84,"Android","US","today+5-y","web",0
2020-01-12,83,"Android","US","today+5-y","web",0
2020-01-19,79,"Android","US","today+5-y","web",0
2020-01-26,75,"Android","US","today+5-y","web",0
2020-02-02,78,"Android","US","today+5-y","web",0
2020-02-09,77,"Android","US","today+5-y","web",0
2020-02-16,83,"Android","US","today+5-y","web",0
2020-02-23,74,"Android","US","today+5-y","web",0
2020-03-01,73,"Android","US","today+5-y","web",0
2020-03-08,72,"Android","US","today+5-y","web",0
2020-03-15,79,"Android","US","today+5-y","web",0
2020-03-22,81,"Android","US","today+5-y","web",0
2020-03-29,81,"Android","US","today+5-y","web",0
2020-04-05,79,"Android","US","today+5-y","web",0
2020-04-12,80,"Android","US","today+5-y","web",0
2020-04-19,80,"Android","US","today+5-y","web",0
2020-04-26,76,"Android","US","today+5-y","web",0
2020-05-03,73,"Android","US","today+5-y","web",0
2020-05-10,76,"Android","US","today+5-y","web",0
2020-05-17,74,"Android","US","today+5-y","web",0
2020-05-24,76,"Android","US","today+5-y","web",0
2020-05-31,71,"Android","US","today+5-y","web",0
2020-06-07,77,"Android","US","today+5-y","web",0
2020-06-14,77,"Android","US","today+5-y","web",0
2020-06-21,77,"Android","US","today+5-y","web",0
2020-06-28,82,"Android","US","today+5-y","web",0
2020-07-05,80,"Android","US","today+5-y","web",0
2020-07-12,75,"Android","US","today+5-y","web",0
2020-07-19,75,"Android","US","today+5-y","web",0
2020-07-26,73,"Android","US","today+5-y","web",0
2020-08-02,80,"Android","US","today+5-y","web",0
2020-08-09,74,"Android","US","today+5-y","web",0
2020-08-16,75,"Android","US","today+5-y","web",0
2020-08-23,71,"Android","US","today+5-y","web",0
2020-08-30,77,"Android","US","today+5-y","web",0
2020-09-06,76,"Android","US","today+5-y","web",0
2020-09-13,73,"Android","US","today+5-y","web",0
2020-09-20,76,"Android","US","today+5-y","web",0
2020-09-27,78,"Android","US","today+5-y","web",0
2020-10-04,73,"Android","US","today+5-y","web",0
2020-10-11,76,"Android","US","today+5-y","web",0
