"","date","hits","keyword","geo","time","gprop","category"
"1",2019-03-31,20,"Bitcoin","US","today+5-y","web",0
"2",2019-04-07,14,"Bitcoin","US","today+5-y","web",0
"3",2019-04-14,12,"Bitcoin","US","today+5-y","web",0
"4",2019-04-21,13,"Bitcoin","US","today+5-y","web",0
"5",2019-04-28,12,"Bitcoin","US","today+5-y","web",0
"6",2019-05-05,17,"Bitcoin","US","today+5-y","web",0
"7",2019-05-12,30,"Bitcoin","US","today+5-y","web",0
"8",2019-05-19,21,"Bitcoin","US","today+5-y","web",0
"9",2019-05-26,22,"Bitcoin","US","today+5-y","web",0
"10",2019-06-02,18,"Bitcoin","US","today+5-y","web",0
"11",2019-06-09,15,"Bitcoin","US","today+5-y","web",0
"12",2019-06-16,27,"Bitcoin","US","today+5-y","web",0
"13",2019-06-23,43,"Bitcoin","US","today+5-y","web",0
"14",2019-06-30,25,"Bitcoin","US","today+5-y","web",0
"15",2019-07-07,25,"Bitcoin","US","today+5-y","web",0
"16",2019-07-14,24,"Bitcoin","US","today+5-y","web",0
"17",2019-07-21,18,"Bitcoin","US","today+5-y","web",0
"18",2019-07-28,17,"Bitcoin","US","today+5-y","web",0
"19",2019-08-04,19,"Bitcoin","US","today+5-y","web",0
"20",2019-08-11,17,"Bitcoin","US","today+5-y","web",0
"21",2019-08-18,15,"Bitcoin","US","today+5-y","web",0
"22",2019-08-25,14,"Bitcoin","US","today+5-y","web",0
"23",2019-09-01,13,"Bitcoin","US","today+5-y","web",0
"24",2019-09-08,11,"Bitcoin","US","today+5-y","web",0
"25",2019-09-15,11,"Bitcoin","US","today+5-y","web",0
"26",2019-09-22,18,"Bitcoin","US","today+5-y","web",0
"27",2019-09-29,13,"Bitcoin","US","today+5-y","web",0
"28",2019-10-06,12,"Bitcoin","US","today+5-y","web",0
"29",2019-10-13,11,"Bitcoin","US","today+5-y","web",0
"30",2019-10-20,15,"Bitcoin","US","today+5-y","web",0
"31",2019-10-27,14,"Bitcoin","US","today+5-y","web",0
"32",2019-11-03,11,"Bitcoin","US","today+5-y","web",0
"33",2019-11-10,11,"Bitcoin","US","today+5-y","web",0
"34",2019-11-17,13,"Bitcoin","US","today+5-y","web",0
"35",2019-11-24,13,"Bitcoin","US","today+5-y","web",0
"36",2019-12-01,11,"Bitcoin","US","today+5-y","web",0
"37",2019-12-08,10,"Bitcoin","US","today+5-y","web",0
"38",2019-12-15,11,"Bitcoin","US","today+5-y","web",0
