"x"
"|date       | harvey|   irma|  maria|   jose|"
"|:----------|------:|------:|------:|------:|"
"|2017-08-20 | 0.0000| 0.0000| 0.0000| 0.0000|"
"|2017-08-21 | 0.0000| 0.0000| 0.0000| 0.0000|"
"|2017-08-22 | 0.0000| 0.0000| 0.0000| 0.0000|"
"|2017-08-23 | 0.0000| 0.0000| 0.0000| 0.0000|"
"|2017-08-24 | 0.1259| 0.0000| 0.0000| 0.0000|"
"|2017-08-25 | 0.7544| 0.0000| 0.0000| 0.0000|"
"|2017-08-26 | 0.8878| 0.0000| 0.0000| 0.0000|"
"|2017-08-27 | 0.2163| 0.0000| 0.0000| 0.0000|"
"|2017-08-28 | 0.3013| 0.0000| 0.0000| 0.0000|"
"|2017-08-29 | 0.2395| 0.0000| 0.0000| 0.0000|"
"|2017-08-30 | 0.3180| 0.0101| 0.0000| 0.0000|"
"|2017-08-31 | 0.3217| 0.0148| 0.0000| 0.0000|"
"|2017-09-01 | 0.4643| 0.0632| 0.0000| 0.0000|"
"|2017-09-02 | 0.4694| 0.0470| 0.0000| 0.0000|"
"|2017-09-03 | 0.2770| 0.0330| 0.0000| 0.0000|"
"|2017-09-04 | 0.2308| 0.0767| 0.0000| 0.0000|"
"|2017-09-05 | 0.2466| 0.2577| 0.0000| 0.0118|"
"|2017-09-06 | 0.2737| 0.5302| 0.0000| 0.0196|"
"|2017-09-07 | 0.2039| 0.6690| 0.0000| 0.0366|"
"|2017-09-08 | 0.1884| 0.8620| 0.0000| 0.0605|"
"|2017-09-09 | 0.1134| 0.9480| 0.0000| 0.0565|"
"|2017-09-10 | 0.1099| 0.4994| 0.0000| 0.0223|"
"|2017-09-11 | 0.0948| 0.7643| 0.0000| 0.0190|"
"|2017-09-12 | 0.0743| 0.5085| 0.0000| 0.0180|"
"|2017-09-13 | 0.0522| 0.2756| 0.0000| 0.0088|"
"|2017-09-14 | 0.0389| 0.3174| 0.0000| 0.0170|"
"|2017-09-15 | 0.0343| 0.1035| 0.0000| 0.0076|"
"|2017-09-16 | 0.0207| 0.1087| 0.0000| 0.0355|"
"|2017-09-17 | 0.0087| 0.1090| 0.0184| 0.0337|"
"|2017-09-18 | 0.0242| 0.1168| 0.1290| 0.0331|"
"|2017-09-19 | 0.0355| 0.0812| 0.3079| 0.0359|"
"|2017-09-20 | 0.0259| 0.1266| 0.5094| 0.0146|"
"|2017-09-21 | 0.0412| 0.0739| 0.3380| 0.0076|"
"|2017-09-22 | 0.0324| 0.0354| 0.1680| 0.0000|"
"|2017-09-23 | 0.0370| 0.0147| 0.0834| 0.0000|"
"|2017-09-24 | 0.0156| 0.0000| 0.0652| 0.0000|"
"|2017-09-25 | 0.0353| 0.0345| 0.1183| 0.0000|"
